Townland,Acres,Barony,Civil parish,Poor law union
Abbeyland,75,Corkaree,Multyfarnham,Mullingar
Abbeyland and Charlestown (or Ballynamonaster),230,Moygoish,Kilbixy,Mullingar
Adamstown,35,Rathconrath,Conry,Mullingar
Adamstown,551,Moycashel,Castletownkindalen,Mullingar
Addinstown,968,Delvin,Castletowndelvin,Castletowndelvin
Aghabrack,127,Rathconrath,Conry,Mullingar
Aghacocara,32,Brawny,St. Mary's,Athlone
Aghadaugh,256,Moyashel and Magheradernon,Rathconnell,Mullingar
Aghafin,115,Clonlonan,Kilcleagh,Athlone
Aghafin,145,Kilkenny West,Noughaval,Ballymahon
Aghalasty & Ankersland,307,Fore,St. Mary's,Castletowndelvin
Aghamore,32,Moycashel,Kilbeggan,Tullamore
Aghamore,574,Farbill,Killucan,Mullingar
Aghanamanagh (or Commeenlonagh),59,Moycashel,Newtown,Mullingar
Aghanapisha,28,Kilkenny West,Noughaval,Ballymahon
Aghanargit,120,Clonlonan,Kilcleagh,Athlone
Aghanashanamore,41,Clonlonan,Ballyloughloe,Athlone
Aghanvoneen,121,Clonlonan,Ballyloughloe,Athlone
Agharanny,25,Clonlonan,Kilcleagh,Athlone
Agharevagh East,41,Clonlonan,Kilcleagh,Athlone
Agharevagh West,24,Clonlonan,Kilcleagh,Athlone
Aghavoneen,169,Clonlonan,Kilcleagh,Athlone
Aghnabohy,295,Rathconrath,Piercetown,Ballymahon
Aghnasullivan,62,Clonlonan,Kilcleagh,Athlone
Aghuldred,174,Moycashel,Kilbeggan,Tullamore
Aghyrassy,91,Moycashel,Newtown,Mullingar
Ankersbower,58,Brawny,St. Mary's,Athlone
Ankersland & Aghalasty,307,Fore,St. Mary's,Castletowndelvin
Annagh,810,Kilkenny West,Kilkenny West,Athlone
Annaghgortagh,171,Clonlonan,Ballyloughloe,Athlone
Annaskinnan,511,Farbill,Killucan,Mullingar
Anneville (or Rathduff),335,Fartullagh,Moylisker,Mullingar
Archerstown,822,Delvin,Castletowndelvin,Castletowndelvin
Ardan,196,Moycashel,Rahugh,Tullamore
Ardballymore,112,Moycashel,Ardnurcher or Horseleap,Tullamore
Ardborra,192,Kilkenny West,Drumraney,Ballymahon
Ardbrennan,240,Rathconrath,Killare,Mullingar
Ardbuckan,151,Kilkenny West,Drumraney,Ballymahon
Ardillon,95,Fartullagh,Lynn,Mullingar
Ardivaghan,88,Moyashel and Magheradernon,Mullingar,Mullingar
Ardmore,151,Moyashel and Magheradernon,Mullingar,Mullingar
Ardmorney,152,Moycashel,Newtown,Mullingar
Ardnacrany North,813,Kilkenny West,Noughaval,Ballymahon
Ardnacrany South,162,Kilkenny West,Noughaval,Ballymahon
Ardnaglew,351,Moycashel,Kilbeggan,Tullamore
Ardnaglug,24,Brawny,St. Mary's,Athlone
Ardnagragh,13,Kilkenny West,Drumraney,Ballymahon
Ardnagragh Digby,650,Kilkenny West,Drumraney,Ballymahon
Ardnagragh Gray,261,Kilkenny West,Drumraney,Ballymahon
Ardnagross,220,Fore,Lickbla,Granard
Ardnaponra,71,Clonlonan,Kilmanaghan,Athlone
Ardnurcher,296,Moycashel,Ardnurcher or Horseleap,Mullingar
Ardyduffy,87,Clonlonan,Ballyloughloe,Athlone
Athenboy,69,Moygoish,Street,Granard
Athlone,Town,Brawny,St. Mary's,Athlone
Athlone,378,Brawny,St. Mary's,Athlone
Atticonor,440,Moycashel,Rahugh,Tullamore
Attimurtagh,62,Clonlonan,Kilcleagh,Athlone
Auburn,151,Kilkenny West,Kilkenny West,Athlone
Balgarrett,413,Moyashel and Magheradernon,Mullingar,Mullingar
Ballagh,217,Moyashel and Magheradernon,Mullingar,Mullingar
Ballagh,82,Clonlonan,Kilcumreragh,Athlone
Ballaghkeeran Big,302,Kilkenny West,Kilkenny West,Athlone
Ballaghkeeran Little,30,Kilkenny West,Kilkenny West,Athlone
Ballallen,441,Moygoish,Kilbixy,Mullingar
Ballany,440,Fore,St. Feighins,Castletowndelvin
Ballard,203,Rathconrath,Rathconrath,Mullingar
Ballard,256,Moycashel,Ardnurcher or Horseleap,Tullamore
Ballard,438,Corkaree,Portloman,Mullingar
Balleagny,191,Moyashel and Magheradernon,Mullingar,Mullingar
Balleighter (or Lowtown),395,Farbill,Killucan,Mullingar
Ballew,27,Moygoish,Street,Granard
Ballina,261,Moyashel and Magheradernon,Mullingar,Mullingar
Ballinacor (or Clonboy),371,Rathconrath,Killare,Mullingar
Ballinalack,Town,Corkaree,Leny,Mullingar
Ballinalack,151,Corkaree,Leny,Mullingar
Ballinaspick (or Bishopstown),"1,572",Rathconrath,Killare,Mullingar
Ballincurra,201,Rathconrath,Piercetown,Ballymahon
Ballinderry,452,Moyashel and Magheradernon,Mullingar,Mullingar
Ballinderry,989,Clonlonan,Kilcumreragh,Athlone
Ballinderry Big,476,Moycashel,Kilbeggan,Tullamore
Ballinderry Little,241,Moycashel,Kilbeggan,Tullamore
Ballindurrow,426,Corkaree,Multyfarnham,Mullingar
Ballinealoe,565,Fore,Mayne,Granard
Ballinive,147,Rathconrath,Killare,Mullingar
Ballinkeeny (or Mosstown),212,Rathconrath,Killare,Mullingar
Ballinla,210,Farbill,Killucan,Mullingar
Ballinlaban,457,Moycashel,Ardnurcher or Horseleap,Mullingar
Ballinlassy,182,Clonlonan,Kilcleagh,Athlone
Ballinlavan,55,Rathconrath,Killare,Mullingar
Ballinlig,145,Delvin,Castletowndelvin,Castletowndelvin
Ballinlig,157,Moycashel,Kilcumreragh,Athlone
Ballinlig Lower,281,Rathconrath,Ballymore,Athlone
Ballinlig Upper,248,Rathconrath,Ballymore,Athlone
Ballinlough (Wadding),294,Delvin,Castletowndelvin,Castletowndelvin
Ballinlough,159,Kilkenny West,Bunown,Athlone
Ballinlough,432,Delvin,Killua,Castletowndelvin
Ballinlug,316,Rathconrath,Rathconrath,Mullingar
Ballinn,243,Delvin,Castletowndelvin,Castletowndelvin
Ballinphort,325,Corkaree,Multyfarnham,Mullingar
Ballinriddera,360,Corkaree,Multyfarnham,Mullingar
Ballintlevy,137,Fartullagh,Enniscoffey,Mullingar
Ballintober,530,Moycashel,Kilcumreragh,Athlone
Ballintue,669,Moygoish,Kilmacnevan,Mullingar
Ballinure (or Ballyhealy),884,Delvin,Castletowndelvin,Castletowndelvin
Ballinvally,264,Delvin,Castletowndelvin,Castletowndelvin
Ballinwire,258,Moycashel,Kilbeggan,Tullamore
Balloughter (or Hightown),"1,283",Farbill,Killucan,Mullingar
Ballybeg,226,Fore,Faughalstown,Castletowndelvin
Ballybeg,244,Clonlonan,Kilcumreragh,Athlone
Ballyboy (or Lowpark),262,Kilkenny West,Kilkenny West,Athlone
Ballyboy,169,Corkaree,Portloman,Mullingar
Ballybrennan,405,Moycashel,Castletownkindalen,Mullingar
Ballybrickoge,465,Moycashel,Kilcumreragh,Athlone
Ballybroder,243,Moycashel,Durrow,Tullamore
Ballybroder,95,Clonlonan,Kilcumreragh,Athlone
Ballybrown,104,Moycashel,Castletownkindalen,Mullingar
Ballycahan,368,Moycashel,Durrow,Tullamore
Ballycahillroe,222,Clonlonan,Kilcleagh,Athlone
Ballycloghduff (Molston),283,Kilkenny West,Drumraney,Athlone
Ballycloghduff,230,Kilkenny West,Drumraney,Athlone
Ballyclogher,83,Rathconrath,Killare,Mullingar
Ballycomoyle,465,Fore,Rathgarve,Castletowndelvin
Ballycor,331,Moyashel and Magheradernon,Rathconnell,Mullingar
Ballycorkey,402,Moygoish,Kilbixy,Mullingar
Ballydavid,99,Rathconrath,Killare,Ballymahon
Ballydonagh,62,Clonlonan,Kilcleagh,Athlone
Ballydoogan,532,Clonlonan,Ballyloughloe,Athlone
Ballydorey,60,Moygoish,Rathaspick,Granard
Ballyedward,45,Corkaree,Tyfarnham,Mullingar
Ballygarran,145,Moygoish,Rathaspick,Granard
Ballygarvey,261,Moygoish,Rathaspick,Mullingar
Ballygarveybeg,530,Moygoish,Rathaspick,Mullingar
Ballygillin,168,Delvin,Killulagh,Castletowndelvin
Ballyglass,143,Moyashel and Magheradernon,Mullingar,Mullingar
Ballyglass,152,Rathconrath,Rathconrath,Mullingar
Ballygowlan,90,Brawny,St. Mary's,Athlone
Ballyhandy,74,Rathconrath,Dysart,Mullingar
Ballyharney,577,Corkaree,Lackan,Mullingar
Ballyhast,517,Moycashel,Castletownkindalen,Mullingar
Ballyhattan,102,Moycashel,Ardnurcher or Horseleap,Mullingar
Ballyhaw,227,Farbill,Killucan,Mullingar
Ballyhealy (or Ballinure),884,Delvin,Castletowndelvin,Castletowndelvin
Ballyhoreen,213,Moygoish,Kilbixy,Mullingar
Ballyhug,350,Moygoish,Kilbixy,Mullingar
Ballykeeran,415,Brawny,St. Mary's,Athlone
Ballykildevin,105,Moygoish,Street,Granard
Ballykilmore,330,Fartullagh,Newtown,Mullingar
Ballykilroe,457,Moycashel,Castletownkindalen,Mullingar
Ballymacahil and Derries,428,Delvin,Kilcumny,Castletowndelvin
Ballymacallen,579,Rathconrath,Killare,Ballymahon
Ballymacartan,129,Rathconrath,Killare,Ballymahon
Ballymachugh,352,Moycashel,Newtown,Mullingar
Ballymacmorris,485,Moycashel,Kilbeggan,Tullamore
Ballymaghery,34,Delvin,Killagh,Castletowndelvin
Ballymaglavy,803,Rathconrath,Piercetown,Mullingar
Ballymanus,486,Fore,Rathgarve,Castletowndelvin
Ballymore,Town,Rathconrath,Ballymore,Ballymahon
Ballymore,Town,Rathconrath,Killare,Ballymahon
Ballymore,676,Rathconrath,Ballymore,Ballymahon
Ballymorin,290,Rathconrath,Ballymorin,Mullingar
Ballymurry,89,Clonlonan,Ballyloughloe,Athlone
Ballynacarrig Old,175,Moygoish,Kilbixy,Mullingar
Ballynacarrigy,Town,Moygoish,Kilbixy,Mullingar
Ballynacarrigy,146,Moygoish,Kilbixy,Mullingar
Ballynacarrow,327,Moygoish,Kilmacnevan,Mullingar
Ballynacarrow,660,Rathconrath,Rathconrath,Mullingar
Ballynacliffy,486,Kilkenny West,Kilkenny West,Athlone
Ballynaclin,222,Moyashel and Magheradernon,Mullingar,Mullingar
Ballynaclonagh,254,Corkaree,Multyfarnham,Mullingar
Ballynacor,730,Delvin,Killulagh,Castletowndelvin
Ballynacorra,232,Rathconrath,Ballymore,Ballymahon
Ballynacoska,246,Moycashel,Castletownkindalen,Mullingar
